PQID,CMT,UNM,CAT,Year,Month,Day
70401,2,Patrik Nordwall,O,2012,1,8
70397,5,Viktor Klang (√),O,2012,1,9
70389,1,Roland Kuhn,O,2012,1,10
70377,2,Patrik Nordwall,O,2012,1,11
70383,2,Patrik Nordwall,O,2012,1,11
70393,5,Patrik Nordwall,O,2012,1,11
70356,1,Patrik Nordwall,O,2012,1,12
70360,5,Roland Kuhn,O,2012,1,13
70321,3,Viktor Klang (√),O,2012,1,16
70351,2,Patrik Nordwall,O,2012,1,16
70312,2,Patrik Nordwall,O,2012,1,17
70313,6,Patrik Nordwall,O,2012,1,17
70319,9,Viktor Klang (√),O,2012,1,17
70309,1,Viktor Klang (√),O,2012,1,18
69970,2,Piotr Gabryanczyk,O,2012,1,19
70243,5,Patrik Nordwall,O,2012,1,19
70245,3,Piotr Gabryanczyk,O,2012,1,19
70247,1,Piotr Gabryanczyk,O,2012,1,19
70248,1,Piotr Gabryanczyk,O,2012,1,19
70249,1,Viktor Klang (√),O,2012,1,19
70250,1,Piotr Gabryanczyk,O,2012,1,19
70251,1,Viktor Klang (√),O,2012,1,19
70301,2,Peter Vlugter,O,2012,1,19
70304,4,Peter Vlugter,O,2012,1,19
92295,2,Peter Vlugter,M,2012,1,19
92309,10,Piotr Gabryanczyk,M,2012,1,19
70234,3,Raymond Roestenburg,O,2012,1,20
70236,1,Viktor Klang (√),O,2012,1,20
70238,6,Viktor Klang (√),O,2012,1,20
70240,2,Viktor Klang (√),O,2012,1,20
92193,61,Viktor Klang (√),M,2012,1,20
70227,7,Viktor Klang (√),O,2012,1,21
70228,2,Viktor Klang (√),O,2012,1,21
70246,14,Piotr Gabryanczyk,O,2012,1,21
70195,1,Raymond Roestenburg,O,2012,1,22
70200,2,Patrik Nordwall,O,2012,1,22
70205,2,Piotr Gabryanczyk,O,2012,1,22
70224,6,Piotr Gabryanczyk,O,2012,1,22
76848,1,Raymond Roestenburg,O,2012,1,22
70058,247,Derek Williams,O,2012,1,23
70207,1,Piotr Gabryanczyk,O,2012,1,23
70214,4,Roland Kuhn,O,2012,1,23
70216,3,Viktor Klang (√),O,2012,1,23
70218,2,Patrik Nordwall,O,2012,1,23
70220,2,Patrik Nordwall,O,2012,1,23
70230,14,Roland Kuhn,O,2012,1,23
70242,3,Patrik Nordwall,O,2012,1,23
92157,3,Derek Williams,M,2012,1,23
92332,9,Roland Kuhn,M,2012,1,23
92358,28,Patrik Nordwall,M,2012,1,23
70199,1,Roland Kuhn,O,2012,1,24
70201,5,Viktor Klang (√),O,2012,1,24
70202,1,Roland Kuhn,O,2012,1,24
